SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO
10,0.0,0.0,0.0,P,2013.0,10.0,S,0.0,F,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014,18.0
0,0.0,0.0,0.0,E,2013.0,10.0,,0.0,M,,Gurupi,Tocantins,,,,,,6.00,0.0,648,54,2014,19.0
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,6.00,0.0,648,54,2014,18.0
9,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,,Aparecida de Goiânia,Goiás,,,,,,0.00,2.0,648,54,2014,22.0
9,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,,Aparecida de Goiânia,Goiás,,,,,,0.00,66.0,648,54,2014,22.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014,19.0
0,0.0,0.0,3.0,E,2012.0,0.0,S,0.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,8.50,0.0,648,54,2014,19.0
9,0.0,0.0,0.0,P,2013.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,0.00,2.0,648,54,2014,18.0
0,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,Técnico em Telecomunicações,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014,22.0
0,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,Técnico em Telecomunicações,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2014,22.0
0,0.0,0.0,0.0,E,2010.0,10.0,S,0.0,M,Técnico em Telecomunicações,Goiânia,Goiás,,,,,,0.00,70.0,648,54,2014,22.0
0,0.0,0.0,0.0,E,2013.0,10.0,S,0.0,M,,Senador Canedo,Goiás,,,,,,6.50,0.0,648,54,2014,17.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,0.0,M,,Goiânia,Goiás,,,,,,7.60,0.0,648,54,2014,19.0
0,0.0,0.0,,E,2013.0,,S,0.0,F,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,3.0,3.0,7.50,0.0,648,54,2014,17.0
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Aparecida de Goiânia,Goiás,,,,,,7.00,0.0,648,54,2014,18.0
9,0.0,0.0,0.0,,,10.0,,0.0,M,,Anápolis,Goiás,,,,,,0.00,68.0,648,54,2014,18.0
9,0.0,0.0,0.0,,,10.0,,0.0,M,,Anápolis,Goiás,,,,,,0.00,4.0,648,54,2014,18.0
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,0.50,0.0,648,54,2014,18.0
0,0.0,0.0,0.0,P,2013.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,7.50,0.0,648,54,2014,18.0
